Model Type: PSA1302,
File Version Number...: X02-02,
Trace Type: Live,
Start Frequency: 0920.0000 MHz,
Stop Frequency: 0926.0000 MHz,
RBW:   280kHz,
Auto RBW:  Off,
Video Filter:       On,
Prefs Trace CSV:   Absolute,
Reference Level:     0dBm,
Fixed Offset: Off,-010.0dB,
Graticule Scale:   10dB/div,
Graticule Shift: 00,
0925.2890,-039.7
0925.3110,-041.3
0925.3330,-044.6
0925.3560,-047.3
0925.3780,-051.1
0925.4000,-050.8
0925.4220,-054.0
0925.4440,-055.9
0925.4670,-057.0
0925.4890,-061.4
0925.5110,-060.0
0925.5330,-060.0
0925.5560,-061.1
0925.5780,-062.1
0925.6000,-063.0
0925.6220,-063.4
0925.6440,-062.7
0925.6670,-065.1
0925.6890,-064.9
0925.7110,-064.9
0925.7330,-065.3
0925.7560,-065.8
0925.7780,-065.8
0925.8000,-066.2
0925.8220,-067.9
0925.8440,-068.1
0925.8670,-067.0
0925.8890,-067.2
0925.9110,-067.3
0925.9330,-067.4
0925.9560,-067.1
0925.9780,-067.8
0926.0000,-067.7
