Model Type: PSA1302,
0925.2890,-046.9
0925.3110,-060.7
0925.3330,-068.1
0925.3560,-068.4
0925.3780,-067.9
0925.4000,-067.3
0925.4220,-060.8
0925.4440,-060.4
0925.4670,-065.9
0925.4890,-062.9
0925.5110,-064.0
0925.5330,-067.9
0925.5560,-065.8
0925.5780,-065.7
0925.6000,-068.3
0925.6220,-068.2
0925.6440,-067.1
0925.6670,-066.6
0925.6890,-065.9
0925.7110,-068.2
0925.7330,-068.4
0925.7560,-068.3
0925.7780,-067.8
0925.8000,-067.3
0925.8220,-067.9
0925.8440,-067.7
0925.8670,-068.7
0925.8890,-068.7
0925.9110,-068.3
0925.9330,-068.3
0925.9560,-068.3
0925.9780,-068.3
0926.0000,-068.1
